"AvailableTranscripts";"Rated";"DatePosted"
Any["Albanian","Arabic","Armenian","Bulgarian","Chinese, Simplified","Chinese, Traditional","Croatian","Czech","Dutch","English","French","Georgian","German","Greek","Hebrew","Hungarian","Italian","Japanese","Korean","Kurdish","Macedonian","Norwegian Bokmal","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Slovak","Spanish","Thai","Turkish","Ukrainian","Vietnamese"];String["Inspiring, Persuasive"];"Jun 2006"
Any["Arabic","Chinese, Simplified","Chinese, Traditional","Czech","Danish","Dutch","Dzongkha","English","French","Greek","Hebrew","Italian","Japanese","Korean","Nepali","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Spanish","Swedish","Thai","Turkish","Vietnamese"];String["Inspiring, Beautiful"];"Mar 2016"
Any["Arabic","Chinese, Simplified","Chinese, Traditional","Croatian","Dutch","English","Esperanto","French","Georgian","German","Hebrew","Italian","Japanese","Korean","Persian","Polish","Portuguese","Portuguese, Brazilian","Russian","Spanish","Ukrainian","Vietnamese"];String["Informative, Inspiring"];"Dec 2016"
Any["Arabic","Chinese, Traditional","Croatian","English","French","French (Canada)","German","Hebrew","Hungarian","Italian","Japanese","Korean","Mongolian","Persian","Polish","Portuguese, Brazilian","Russian","Serbian","Spanish","Turkish","Ukrainian","Vietnamese"];String["Inspiring, Courageous"];"Nov 2016"
Any["Arabic","Bulgarian","Chinese, Simplified","Chinese, Traditional","Danish","Dutch","English","French","German","Hebrew","Hungarian","Indonesian","Italian","Japanese","Korean","Macedonian","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Spanish","Swedish","Turkish","Ukrainian","Vietnamese"];String["Inspiring, Courageous"];"Jan 2016"
Any["English","French","Hebrew","Hungarian"];String["Informative, Persuasive"];"May 2017"
Any["Albanian","Arabic","Bulgarian","Chinese, Simplified","Chinese, Traditional","Chinese, Yue","Croatian","Danish","Dutch","English","Finnish","French","Galician","Georgian","German","Greek","Hebrew","Hungarian","Indonesian","Italian","Japanese","Korean","Macedonian","Persian","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Spanish","Swedish","Ukrainian","Vietnamese"];String["Informative, Inspiring"];"Jan 2016"
Any["Albanian","Arabic","Bulgarian","Chinese, Simplified","Chinese, Traditional","Croatian","Czech","Dutch","English","French","German","Greek","Hebrew","Hungarian","Italian","Japanese","Korean","Latvian","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Slovak","Slovenian","Spanish","Turkish","Ukrainian","Vietnamese"];String["Fascinating, Ingenious"];"Dec 2011"
Any["Dutch","English","French","Greek","Hebrew","Italian","Korean","Persian","Portuguese","Russian","Serbian"];String["Informative, Fascinating"];"Feb 2017"
Any["Arabic","Bulgarian","Chinese, Simplified","Chinese, Traditional","Croatian","Danish","Dutch","English","French","German","Hebrew","Italian","Japanese","Korean","Lithuanian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Slovenian","Spanish","Turkish","Ukrainian","Vietnamese"];String["Funny, Ingenious"];"Aug 2006"
